reading_id,timestamp,system_id,collected_by,collection_method,conductivity,ph,total_hardness,m_alkalinity,chloride,free_halogen,inhibitor_ppm,iron,sulfite,nitrite,microbio_dipslide,units,notes
RD-00001,3/2/26 0:00,SYS-0014,BMS export,bms,2.91,8.8,,,,,,,,,,cond=mS/cm,
RD-00002,3/2/26 0:00,SYS-0015,BMS export,bms,2.8,,,,,,,,,,,cond=mS/cm,
RD-00003,3/2/26 0:00,SYS-0016,BMS export,bms,2.98,8.8,,,,,,,,,,cond=mS/cm,
RD-00004,3/2/26 0:00,SYS-0017,BMS export,bms,3.16,,,,,,,,,,,cond=mS/cm,
RD-00005,2026-03-02 08:30,SYS-0001,Jenn Fowler,field,2859.0,11.0,0.7,548.0,,,,0.17,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00006,2026-03-02 09:00,SYS-0005,Jenn Fowler,field,3148.0,9.7,,,,,,0.25,,833.0,,cond=uS/cm;nitrite=ppm,
RD-00007,2026-03-02 12:15,SYS-0004,Jenn Fowler,field,1523.0,8.6,553.0,,201.0,0.49,11.6,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00008,2026-03-02 12:40,SYS-0040,Dale Hardy,field,2855.0,10.9,0.4,850.0,,,,0.21,37.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00009,2026-03-02 13:40,SYS-0022,Dale Hardy,field,2564.0,11.1,0.6,718.0,,,,0.26,28,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00010,2026-03-02 14:15,SYS-0003,Jenn Fowler,field,1603.0,8.6,445.0,,181.0,0.84,12.4,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00011,2026-03-02 15:00,SYS-0002,Jenn Fowler,field,2613.0,11.1,1.3,,,,,0.11,21.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00012,3/3/26 0:00,SYS-0014,BMS export,bms,2.83,,,,,,,,,,,cond=mS/cm,
RD-00013,3/3/26 0:00,SYS-0015,BMS export,bms,2.83,8.8,,,,,,,,,,cond=mS/cm,
RD-00014,3/3/26 0:00,SYS-0016,BMS export,bms,3.04,,,,,,,,,,,cond=mS/cm,
RD-00015,3/3/26 0:00,SYS-0017,BMS export,bms,2.84,8.7,,,,,,,,,,cond=mS/cm,
RD-00016,2026-03-03 09:20,SYS-0010,Marcus Webb,field,1675.0,8.8,347.0,,197.0,0.43,14.1,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00017,2026-03-03 10:00,SYS-0008,Marcus Webb,field,3128.0,10.1,,,,,,0.19,,1054.0,,cond=uS/cm;nitrite=ppm,
RD-00018,2026-03-03 12:10,SYS-0007,Marcus Webb,field,1490.0,8.5,361.0,,146.0,0.81,10.6,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00019,2026-03-03 13:45,SYS-0006,Marcus Webb,field,3454.0,11.2,0.7,627.0,,,,0.19,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00020,2026-03-03 15:30,SYS-0009,Marcus Webb,field,2768.0,11.3,0,608.0,,,,0.16,35.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00021,3/4/26 0:00,SYS-0014,BMS export,bms,2.94,8.6,,,,,,,,,,cond=mS/cm,
