reading_id,timestamp,system_id,collected_by,collection_method,conductivity,ph,total_hardness,m_alkalinity,chloride,free_halogen,inhibitor_ppm,iron,sulfite,nitrite,microbio_dipslide,units,notes
RD-00923,2026-06-11 09:50,SYS-0030,Dale Hardy,field,2675.0,9.1,,,,,,0.19,,997.0,,cond=uS/cm;nitrite=ppm,CORRECTED RECORD: pH transcription error in prior export (was 91.2).
RB-0002,9/1/26 0:00,SYS-0014,BMS export,bms,2922,,,,,,,,,,,cond=uS/cm,
RB-0003,9/1/26 0:00,SYS-0015,BMS export,bms,2986,,,,,,,,,,,cond=uS/cm,
RB-0004,9/1/26 0:00,SYS-0016,BMS export,bms,2813,,,,,,,,,,,cond=uS/cm,
RB-0005,9/1/26 0:00,SYS-0017,BMS export,bms,2982,,,,,,,,,,,cond=uS/cm,
RB-0006,9/2/26 0:00,SYS-0014,BMS export,bms,2791,,,,,,,,,,,cond=uS/cm,
RB-0007,9/2/26 0:00,SYS-0015,BMS export,bms,2861,,,,,,,,,,,cond=uS/cm,
RB-0008,9/2/26 0:00,SYS-0016,BMS export,bms,3000,,,,,,,,,,,cond=uS/cm,
RB-0009,9/2/26 0:00,SYS-0017,BMS export,bms,2941,,,,,,,,,,,cond=uS/cm,
RB-0010,2026-09-02 10:30,SYS-0019,Marcus Webb,field,2650,9.3,,,,,,1.35,,410,,cond=uS/cm;nitrite=ppm,Pre-dose trough. Dosed 8 gal CL-40.
RB-0011,2026-09-02 12:45,SYS-0027,Tomas Rivera,field,2947.0,10.8,0.9,694.0,,,,0.32,35.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0012,2026-09-02 14:00,SYS-0029,Tomas Rivera,field,3089.0,9.2,,,,,234.0,0.33,,,,cond=uS/cm;moly=ppm,
RB-0013,2026-09-02 14:20,SYS-0028,Tomas Rivera,field,1494.0,8.8,322.0,,132.0,0.47,13.9,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0014,9/3/26 0:00,SYS-0014,BMS export,bms,3003,,,,,,,,,,,cond=uS/cm,
RB-0015,9/3/26 0:00,SYS-0015,BMS export,bms,2828,,,,,,,,,,,cond=uS/cm,
RB-0016,9/3/26 0:00,SYS-0016,BMS export,bms,2778,,,,,,,,,,,cond=uS/cm,
RB-0017,9/3/26 0:00,SYS-0017,BMS export,bms,2866,,,,,,,,,,,cond=uS/cm,
RB-0018,2026-09-03 08:10,SYS-0016,Jenn Fowler,field,2780.0,8.8,486.0,,222.0,0.39,15.7,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0019,2026-09-03 08:20,SYS-0014,Jenn Fowler,field,2973.0,8.5,423.0,,218.0,0.44,14.0,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0020,2026-09-03 12:30,SYS-0018,Jenn Fowler,field,2462.0,9.1,,,,,231.0,0.02,,,,cond=uS/cm;moly=ppm,
RB-0021,2026-09-03 14:00,SYS-0015,Jenn Fowler,field,2720.0,8.6,360.0,,286,0.63,14.7,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0022,2026-09-03 14:10,SYS-0017,Jenn Fowler,field,3010.0,8.7,359.0,,266.0,0.66,15.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0023,9/4/26 0:00,SYS-0014,BMS export,bms,2911,,,,,,,,,,,cond=uS/cm,
RB-0024,9/4/26 0:00,SYS-0015,BMS export,bms,2822,,,,,,,,,,,cond=uS/cm,
RB-0025,9/4/26 0:00,SYS-0016,BMS export,bms,2906,,,,,,,,,,,cond=uS/cm,
RB-0026,9/4/26 0:00,SYS-0017,BMS export,bms,2911,,,,,,,,,,,cond=uS/cm,
RB-0027,2026-09-04 10:30,SYS-0042,Jenn Fowler,field,2050,8.7,460,,210,,10.1,,,,,cond=uS/cm;hard=ppm CaCO3,Conductivity still climbing.
RB-0028,9/5/26 0:00,SYS-0014,BMS export,bms,2883,,,,,,,,,,,cond=uS/cm,
RB-0029,9/5/26 0:00,SYS-0015,BMS export,bms,2990,,,,,,,,,,,cond=uS/cm,
RB-0030,9/5/26 0:00,SYS-0016,BMS export,bms,2905,,,,,,,,,,,cond=uS/cm,
RB-0031,9/5/26 0:00,SYS-0017,BMS export,bms,2895,,,,,,,,,,,cond=uS/cm,
RB-0032,2026-09-05 10:30,SYS-0101,Marcus Webb,field,1850,10.9,0.5,520,,,,0.15,35,,,cond=uS/cm;hard=ppm CaCO3,Rental boiler baseline after commissioning.
RB-0033,9/6/26 0:00,SYS-0014,BMS export,bms,3022,,,,,,,,,,,cond=uS/cm,
RB-0034,9/6/26 0:00,SYS-0015,BMS export,bms,2828,,,,,,,,,,,cond=uS/cm,
RB-0035,9/6/26 0:00,SYS-0016,BMS export,bms,2827,,,,,,,,,,,cond=uS/cm,
RB-0036,9/6/26 0:00,SYS-0017,BMS export,bms,2832,,,,,,,,,,,cond=uS/cm,
RB-0037,9/7/26 0:00,SYS-0014,BMS export,bms,2922,,,,,,,,,,,cond=uS/cm,
RB-0038,9/7/26 0:00,SYS-0015,BMS export,bms,2968,,,,,,,,,,,cond=uS/cm,
RB-0039,9/7/26 0:00,SYS-0016,BMS export,bms,2906,,,,,,,,,,,cond=uS/cm,
RB-0040,9/7/26 0:00,SYS-0017,BMS export,bms,3026,,,,,,,,,,,cond=uS/cm,
RB-0041,2026-09-07 13:45,SYS-0040,Dale Hardy,field,2457.0,10.9,1.0,640.0,,,,0.4,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0042,9/8/26 0:00,SYS-0014,BMS export,bms,2962,,,,,,,,,,,cond=uS/cm,
RB-0043,9/8/26 0:00,SYS-0015,BMS export,bms,2881,,,,,,,,,,,cond=uS/cm,
RB-0044,9/8/26 0:00,SYS-0016,BMS export,bms,3176,,,,,,,,,,,cond=uS/cm,
RB-0045,9/8/26 0:00,SYS-0017,BMS export,bms,2948,,,,,,,,,,,cond=uS/cm,
RB-0046,2026-09-08 10:30,SYS-0003,Jenn Fowler,field,1540,8.7,410,,140,0.65,11.2,,,,10^2,cond=uS/cm;hard=ppm CaCO3,
RB-0047,2026-09-08 10:30,SYS-0004,Jenn Fowler,field,1580,8.6,430,,150,0.18,10.8,,,,10^5,cond=uS/cm;hard=ppm CaCO3,Dipslide repeat still high. Escalation pending approval.
RB-0048,2026-09-08 10:30,SYS-0022,Dale Hardy,field,2880,11.0,,610,,,,,26,,,cond=uS/cm;hard=ppm CaCO3,After suction line repair.
RB-0049,2026-09-08 10:30,SYS-0101,Marcus Webb,field,2100,11.0,,560,,,,0.18,32,,,cond=uS/cm;hard=ppm CaCO3,
RB-0050,2026-09-08 10:50,SYS-0010,Marcus Webb,field,1314.0,8.5,425.0,,65.0,0.7,12.6,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0051,2026-09-08 12:00,SYS-0009,Marcus Webb,field,3072.0,10.8,0.6,711.0,,,,0.35,34.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0052,2026-09-08 15:00,SYS-0051,Aaron Silva,field,2689.0,11.0,0.6,576.0,,,,0.21,40.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0053,9/9/26 0:00,SYS-0014,BMS export,bms,2843,,,,,,,,,,,cond=uS/cm,
RB-0054,9/9/26 0:00,SYS-0015,BMS export,bms,2860,,,,,,,,,,,cond=uS/cm,
RB-0055,9/9/26 0:00,SYS-0016,BMS export,bms,2845,,,,,,,,,,,cond=uS/cm,
RB-0056,9/9/26 0:00,SYS-0017,BMS export,bms,2907,,,,,,,,,,,cond=uS/cm,
RB-0057,2026-09-09 08:40,SYS-0027,Tomas Rivera,field,3308.0,11.2,0,554.0,,,,0.3,25.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0058,2026-09-09 10:30,SYS-0019,Marcus Webb,field,2600,9.4,,,,,,1.3,,520,,cond=uS/cm;nitrite=ppm,"Makeup meter 53,900."
RB-0059,2026-09-09 10:40,SYS-0029,Tomas Rivera,field,2584.0,9.4,,,,,274.0,0.36,,,,cond=uS/cm;moly=ppm,
RB-0060,2026-09-09 13:15,SYS-0028,Tomas Rivera,field,1477.0,8.7,380.0,,259.0,0.47,12.3,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0061,2026-09-09 13:20,SYS-0030,Dale Hardy,field,3054.0,9.4,,,,,,0.42,,961.0,,cond=uS/cm;nitrite=ppm,
RB-0062,2026-09-09 14:10,SYS-0031,Dale Hardy,field,1560.0,8.2,22.5,,166.0,0.5,10.9,,,,10^2,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RB-0063,9/10/26 0:00,SYS-0014,BMS export,bms,2907,,,,,,,,,,,cond=uS/cm,
RB-0064,9/10/26 0:00,SYS-0015,BMS export,bms,2932,,,,,,,,,,,cond=uS/cm,
RB-0065,9/10/26 0:00,SYS-0016,BMS export,bms,3016,,,,,,,,,,,cond=uS/cm,
RB-0066,9/10/26 0:00,SYS-0017,BMS export,bms,2975,,,,,,,,,,,cond=uS/cm,
RB-0067,2026-09-10 08:00,SYS-0015,Jenn Fowler,field,2744.0,8.9,468.0,,299,0.55,14.2,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0068,2026-09-10 08:15,SYS-0018,Jenn Fowler,field,2313.0,9.7,,,,,225.0,0.18,,,,cond=uS/cm;moly=ppm,
RB-0069,2026-09-10 09:45,SYS-0025,Dale Hardy,field,2437.0,11.4,1.2,700.0,,,,0.44,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RB-0070,2026-09-10 12:40,SYS-0016,Jenn Fowler,field,2721.0,8.6,379.0,,170.0,0.53,17.2,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0071,2026-09-10 13:40,SYS-0017,Jenn Fowler,field,2888.0,8.5,365.0,,267.0,0.48,17.5,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0072,2026-09-10 14:15,SYS-0014,Jenn Fowler,field,2803.0,8.6,417.0,,231.0,0.83,17.5,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0073,2026-09-10 14:40,SYS-0026,Dale Hardy,field,1551.0,8.5,20.7,,121.0,0.72,9.8,,,,,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RB-0074,9/11/26 0:00,SYS-0014,BMS export,bms,3059,,,,,,,,,,,cond=uS/cm,
RB-0075,9/11/26 0:00,SYS-0015,BMS export,bms,2878,,,,,,,,,,,cond=uS/cm,
RB-0076,9/11/26 0:00,SYS-0016,BMS export,bms,2969,,,,,,,,,,,cond=uS/cm,
RB-0077,9/11/26 0:00,SYS-0017,BMS export,bms,3014,,,,,,,,,,,cond=uS/cm,
RB-0078,2026-09-11 10:30,SYS-0042,Jenn Fowler,field,2110,8.7,470,,215,,9.8,,,,,cond=uS/cm;hard=ppm CaCO3,
RB-0079,2026-09-11 13:30,SYS-0043,Aaron Silva,field,1670.0,8.8,441.0,,98.0,0.94,9.2,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RB-0080,2026-09-11 14:20,SYS-0044,Aaron Silva,field,2473.0,9.4,,,,,210,0.35,,,,cond=uS/cm;moly=ppm,
RB-0081,9/12/26 0:00,SYS-0014,BMS export,bms,2825,,,,,,,,,,,cond=uS/cm,
RB-0082,9/12/26 0:00,SYS-0015,BMS export,bms,2780,,,,,,,,,,,cond=uS/cm,
RB-0083,9/12/26 0:00,SYS-0016,BMS export,bms,3020,,,,,,,,,,,cond=uS/cm,
RB-0084,9/12/26 0:00,SYS-0017,BMS export,bms,2748,,,,,,,,,,,cond=uS/cm,
