source_system,visit_id,visit_date,technician,customer_id,facility_id,systems_serviced,work_performed,chemicals_added,visit_status,follow_up_date,observations
FieldFlow,FF-1001,9/1/2026,MW,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,Routine service visit,BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,,
FieldFlow,FF-1002,9/2/2026,MW,CUST-0002,F-0002,SYS-0006,"Emergency callout: Boiler Unit 2 waterside tube failure, unit isolated",,completed,,Unit 2 down. Rental boiler arranged. See work order.
FieldFlow,FF-1003,9/2/2026,MW,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Routine service visit,CT-770 3 gal; BIO-12 1 gal; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt,completed,,
FieldFlow,FF-1004,9/2/2026,TR,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,Routine service visit,BW-210 1 gal; BW-305 1 gal; CT-770 3 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,
FieldFlow,FF-1005,9/3/2026,JF,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,Routine service visit,CT-785 3 gal; BIO-12 1 gal; CT-785 4 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 4 gal; BIO-12 1 gal,completed,,
FieldFlow,FF-1006,9/4/2026,JF,CUST-0014,F-0016,SYS-0041;SYS-0042,Routine service visit,BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,
FieldFlow,FF-1007,9/5/2026,MW,CUST-0002,F-0002,SYS-0101;SYS-0007;SYS-0008,"Commission rental boiler SYS-0101: initial chemistry, dosing setup",,completed,,Rental unit online. Baseline chemistry established.
FieldFlow,FF-1008,9/7/2026,DH,CUST-0013,F-0015,SYS-0040,Routine service visit,BW-210 1 gal; BW-305 1 gal; AM-115 1 qt,completed,,
FieldFlow,FF-1009,9/8/2026,AS,CUST-0020,F-0023,SYS-0051,Routine service visit,BW-210 2 gal; BW-305 1 gal,completed,,
FieldFlow,FF-1010,9/8/2026,DH,CUST-0006,F-0007,SYS-0022,"Investigate recurring sulfite loss: found suction line air ingress, replaced tubing run and foot valve",,completed,,Root cause was air ingress after pump head. Monitor weekly for a month.
FieldFlow,FF-1011,9/8/2026,JF,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service, CT-2 dipslide repeat",,completed,,CT-2 dipslide still at high count. Shock dose and offline clean still waiting on approval. Raised with Dana again.
FieldFlow,FF-1012,9/8/2026,MW,CUST-0002,F-0003,SYS-0009;SYS-0010,Routine service visit,BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,,
FieldFlow,FF-1013,9/9/2026,DH,CUST-0009,F-0011,SYS-0030;SYS-0031,Routine service visit,CL-40 1 gal; CT-770 5 gal; BRM-40 5 lb,completed,,
FieldFlow,FF-1014,9/9/2026,MW,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Loop check between services: makeup meter and nitrite,,completed,,"Makeup meter 53,900. Loss continuing."
FieldFlow,FF-1015,9/9/2026,TR,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,Routine service visit,BW-210 3 gal; BW-305 2 gal; CT-770 6 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,
FieldFlow,FF-1016,9/10/2026,DH,CUST-0007,F-0009,SYS-0025;SYS-0026,Routine service visit,BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,
FieldFlow,FF-1017,9/10/2026,JF,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,Routine service visit,CT-785 5 gal; BRM-40 5 lb; CT-785 4 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 4 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,
FieldFlow,FF-1018,9/11/2026,AS,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,Routine service visit,CT-770 3 gal; BRM-40 5 lb,completed,,
FieldFlow,FF-1019,9/11/2026,JF,CUST-0014,F-0016,SYS-0041;SYS-0042,Routine service visit,BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,
